exp_name,exp_time,train_time,train_time_epoch,val_time_epoch,acc,loss,last_test_time_consumption
163,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 05:52:08",1131.246,14.32,0.516,0.9179,0.7195,
164,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 06:18:19",987.529,14.312,0.515,0.9069,0.7441,
165,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 06:36:46",687.908,14.331,0.514,0.9055,0.7545,
166,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 06:58:55",831.565,14.337,0.514,0.9038,0.7538,
167,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 07:23:19",916.973,14.328,0.514,0.9071,0.7518,
168,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 07:56:36",1261.322,14.333,0.514,0.9191,0.7189,
169,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 08:16:26",745.12,14.329,0.513,0.9021,0.7591,
170,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 08:41:58",960.495,14.336,0.514,0.8872,0.8568,
171,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 09:08:56",1017.369,14.329,0.515,0.907,0.7469,
172,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 09:34:49",973.836,14.321,0.516,0.9129,0.7296,
173,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 09:57:15",843.205,14.292,0.515,0.8911,0.8045,
174,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 10:23:03",973.485,14.316,0.516,0.9142,0.7331,
175,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 10:42:54",742.641,14.282,0.517,0.894,0.8361,
176,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 11:05:43",857.589,14.293,0.516,0.9101,0.7483,
177,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 11:36:30",1162.874,14.356,0.518,0.9182,0.725,
178,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 12:01:39",947.745,14.36,0.517,0.9134,0.7328,
179,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 12:31:16",1118.954,14.346,0.516,0.9128,0.7305,
180,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 12:57:57",1003.776,14.34,0.517,0.915,0.7505,
181,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 13:25:22",1032.472,14.34,0.516,0.9071,0.7491,
182,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 13:47:34",832.369,14.351,0.516,0.9039,0.7551,
183,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 14:10:51",874.782,14.341,0.517,0.9024,0.7764,
184,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 14:38:09",1030.508,14.313,0.516,0.9138,0.7329,
185,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 15:01:06",859.019,14.317,0.515,0.9084,0.7473,
186,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 15:31:53",1160.833,14.331,0.516,0.9169,0.7214,
187,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 15:54:13",837.576,14.441,0.517,0.909,0.744,
188,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 16:24:20",1135.822,14.377,0.515,0.9088,0.7319,
189,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 16:59:33",1334.123,14.345,0.513,0.9158,0.7196,
190,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 17:28:07",1076.341,14.351,0.514,0.9127,0.7285,
191,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 17:50:14",830.918,14.326,0.513,0.9095,0.7472,
192,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 18:25:48",1346.229,14.322,0.512,0.9,0.8229,
193,exp(TestPLVPooling)_gdbls_on_cifar10,"07/27/2022, 12:51:27",844.345,14.072,0.508,0.9084,0.7582,
194,exp(TestPLVPooling)_gdbls_on_cifar100,"07/27/2022, 13:16:27",931.764,13.702,0.903,0.6776,1.9563,
195,exp(TestPLVPooling)_gdbls_on_svhn,"07/27/2022, 13:53:23",1376.372,19.662,1.26,0.9617,0.6189,
196,exp(TestPLVPooling)_gdbls_on_cifar10,"07/27/2022, 14:24:48",1189.863,13.998,0.518,0.9113,0.7511,
197,exp(TestPLVPooling)_gdbls_on_cifar100,"07/27/2022, 14:53:44",1080.99,13.683,0.904,0.6807,1.9453,
198,exp(TestPLVPooling)_gdbls_on_svhn,"07/27/2022, 15:34:51",1534.322,19.671,1.26,0.9596,0.6259,
199,exp(TestPLVPooling)_gdbls_on_cifar10,"07/27/2022, 16:10:20",1346.1,14.022,0.519,0.9124,0.7509,
200,exp(TestPLVPooling)_gdbls_on_cifar100,"07/27/2022, 16:36:03",959.061,13.701,0.903,0.6782,1.9471,
201,exp(TestPLVPooling)_gdbls_on_svhn,"07/27/2022, 17:01:33",943.475,19.656,1.261,0.9614,0.626,
202,exp(TestPLVPooling)_gdbls_on_cifar10,"07/27/2022, 17:32:19",1164.336,14.028,0.518,0.9156,0.7451,
203,exp(TestPLVPooling)_gdbls_on_cifar100,"07/27/2022, 17:59:00",995.265,13.634,0.9,0.6898,1.9375,
204,exp(TestPLVPooling)_gdbls_on_svhn,"07/27/2022, 18:26:03",1002.423,19.655,1.261,0.9601,0.6274,
205,exp(TestPLVPooling)_gdbls_on_cifar10,"07/27/2022, 18:58:12",1217.929,13.999,0.519,0.9195,0.7366,
206,exp(TestPLVPooling)_gdbls_on_cifar100,"07/27/2022, 19:22:22",899.604,13.63,0.903,0.6806,1.9528,
207,exp(TestPLVPooling)_gdbls_on_svhn,"07/27/2022, 19:44:43",824.745,19.637,1.261,0.9592,0.6346,
